name,msname,spw,Centre (GHz),Width (km/s),ChanWidth (km/s),TotalChans,InLineChans,NonLineChans
NGC4388,uid___A002_Xc89480_X2ad3.ms,7,344.1408552464067,1736.4113342837975,13.672530191211003,128,73,55
NGC4388,uid___A002_Xc89480_X2ad3.ms,17,343.8908552464067,1736.4113342837975,13.672530191211003,128,73,55
NGC4388,uid___A002_Xc89480_X2ad3.ms,25,343.8283552464067,1637.2854903975176,3.4181325478027507,480,292,188
NGC4388,uid___A002_Xcc3ae3_X5293.ms,7,344.0287343697324,1736.4113342837975,13.672530191211003,128,74,54
NGC4388,uid___A002_Xcc3ae3_X5293.ms,17,343.8412343697324,1736.4113342837975,13.672530191211003,128,74,54
NGC4388,uid___A002_Xcc3ae3_X5293.ms,25,343.7787343697324,1637.2854903975176,3.4181325478027507,480,292,188
NGC4388,uid___A002_X828760_X454.ms.split.cal,0,342.994575,1736.4113342837975,13.672530191211003,128,46,82
NGC4388,uid___A002_X1064920_X20e1.ms,6,344.13389522146775,1736.4113342837975,13.672530191211003,128,73,55
NGC4388,uid___A002_X1064920_X20e1.ms,18,343.88389522146775,1749.656597906533,0.42726656847534383,4096,2341,1755
NGC6814,uid___A002_Xd341ff_X9445.ms.split.cal,7,344.9630142792581,1730.570042561221,13.626535768198591,128,73,55
NGC6814,uid___A002_Xd341ff_X9445.ms.split.cal,17,344.9630142792581,1730.570042561221,13.626535768198591,128,73,55
NGC6814,uid___A002_Xd341ff_X9445.ms.split.cal,25,344.9005142792581,1631.7776582417812,3.406633942049648,480,294,186
NGC6814,uid___A002_Xe014a2_X92b1.ms.split.cal,7,344.98154893769566,1730.570042561221,13.626535768198591,128,74,54
NGC6814,uid___A002_Xe014a2_X92b1.ms.split.cal,17,344.98154893769566,1730.570042561221,13.626535768198591,128,74,54
NGC6814,uid___A002_Xe014a2_X92b1.ms.split.cal,25,344.91904893769566,1631.7776582417812,3.406633942049648,480,294,186
NGC6814,uid___A002_Xcc3ae3_X12410.ms.split.cal,7,345.03143367390874,1730.570042561221,13.626535768198591,128,74,54
NGC6814,uid___A002_Xcc3ae3_X12410.ms.split.cal,17,345.03143367390874,1730.570042561221,13.626535768198591,128,74,54
NGC6814,uid___A002_Xcc3ae3_X12410.ms.split.cal,25,344.96893367390874,1631.7776582417812,3.406633942049648,480,293,187
NGC5728,uid___A002_Xe770d7_X3755.ms.split.cal,7,343.86129478805213,1737.869505250205,13.68401185236382,128,73,55
NGC5728,uid___A002_Xe770d7_X3755.ms.split.cal,17,343.5907947880521,1737.869505250205,13.68401185236382,128,73,55
NGC5728,uid___A002_Xe770d7_X3755.ms.split.cal,25,343.5282947880521,1635.2394163574763,6.84200592618191,240,146,94
NGC5728,uid___A002_Xe78c20_X46c8.ms.split.cal,7,343.86077696081355,1737.869505250205,13.68401185236382,128,73,55
NGC5728,uid___A002_Xe78c20_X46c8.ms.split.cal,17,343.5902769608135,1737.869505250205,13.68401185236382,128,73,55
NGC5728,uid___A002_Xe78c20_X46c8.ms.split.cal,25,343.5277769608135,1635.2394163574763,6.84200592618191,240,146,94
